InterPad_I	InterPad_V
-7.5214e-10	-1.6100e-01
-7.1005e-10	-1.6000e-01
-7.7319e-10	-1.5900e-01
-8.5737e-10	-1.5800e-01
-6.6796e-10	-1.5700e-01
-5.4169e-10	-1.5600e-01
-7.1005e-10	-1.5500e-01
-8.5737e-10	-1.5400e-01
-6.8901e-10	-1.5300e-01
-8.9946e-10	-1.5200e-01
-7.5214e-10	-1.5100e-01
-8.1528e-10	-1.5000e-01
-8.1528e-10	-1.4900e-01
-6.8901e-10	-1.4800e-01
-6.4692e-10	-1.4700e-01
-6.2587e-10	-1.4600e-01
-6.4692e-10	-1.4500e-01
-6.8901e-10	-1.4400e-01
-7.5214e-10	-1.4300e-01
-6.2587e-10	-1.4200e-01
-6.6796e-10	-1.4100e-01
-8.5737e-10	-1.4000e-01
-7.7319e-10	-1.3900e-01
-8.7842e-10	-1.3800e-01
-7.5214e-10	-1.3700e-01
-6.6796e-10	-1.3600e-01
-8.5737e-10	-1.3500e-01
-6.6796e-10	-1.3400e-01
-7.9423e-10	-1.3300e-01
-7.3110e-10	-1.3200e-01
-5.8378e-10	-1.3100e-01
-6.2587e-10	-1.3000e-01
-5.6274e-10	-1.2900e-01
-7.1005e-10	-1.2800e-01
-7.5214e-10	-1.2700e-01
-8.3633e-10	-1.2600e-01
-5.8378e-10	-1.2500e-01
-6.8901e-10	-1.2400e-01
-8.1528e-10	-1.2300e-01
-7.3110e-10	-1.2200e-01
-6.6796e-10	-1.2100e-01
-6.4692e-10	-1.2000e-01
-5.8378e-10	-1.1900e-01
-6.2587e-10	-1.1800e-01
-6.0483e-10	-1.1700e-01
-6.6796e-10	-1.1600e-01
-7.9423e-10	-1.1500e-01
-6.8901e-10	-1.1400e-01
-5.2065e-10	-1.1300e-01
-7.1005e-10	-1.1200e-01
-8.5737e-10	-1.1100e-01
-7.1005e-10	-1.1000e-01
-5.4169e-10	-1.0900e-01
-6.6796e-10	-1.0800e-01
-5.6274e-10	-1.0700e-01
-6.6796e-10	-1.0600e-01
-4.9960e-10	-1.0500e-01
-6.4692e-10	-1.0400e-01
-4.3647e-10	-1.0300e-01
-4.7856e-10	-1.0200e-01
-6.4692e-10	-1.0100e-01
-6.4692e-10	-1.0000e-01
-7.3110e-10	-9.9000e-02
-5.4169e-10	-9.8000e-02
-6.2587e-10	-9.7000e-02
-7.3110e-10	-9.6000e-02
-6.2587e-10	-9.5000e-02
-7.1005e-10	-9.4000e-02
-6.4692e-10	-9.3000e-02
-5.4169e-10	-9.2000e-02
-4.9960e-10	-9.1000e-02
-5.6274e-10	-9.0000e-02
-5.4169e-10	-8.9000e-02
-5.4169e-10	-8.8000e-02
-6.2587e-10	-8.7000e-02
-4.7856e-10	-8.6000e-02
-5.2065e-10	-8.5000e-02
-5.6274e-10	-8.4000e-02
-4.5751e-10	-8.3000e-02
-4.5751e-10	-8.2000e-02
-5.2065e-10	-8.1000e-02
-5.4169e-10	-8.0000e-02
-4.9960e-10	-7.9000e-02
-6.2587e-10	-7.8000e-02
-5.4169e-10	-7.7000e-02
-7.3110e-10	-7.6000e-02
-4.5751e-10	-7.5000e-02
-4.7856e-10	-7.4000e-02
-3.5229e-10	-7.3000e-02
-4.3647e-10	-7.2000e-02
-5.6274e-10	-7.1000e-02
-4.9960e-10	-7.0000e-02
-3.5229e-10	-6.9000e-02
-2.2602e-10	-6.8000e-02
-3.7333e-10	-6.7000e-02
-5.8378e-10	-6.6000e-02
-4.5751e-10	-6.5000e-02
-4.5751e-10	-6.4000e-02
-5.6274e-10	-6.3000e-02
-3.1020e-10	-6.2000e-02
-5.8378e-10	-6.1000e-02
-2.6811e-10	-6.0000e-02
-3.1020e-10	-5.9000e-02
-6.4692e-10	-5.8000e-02
-5.4169e-10	-5.7000e-02
-3.9438e-10	-5.6000e-02
-5.6274e-10	-5.5000e-02
-6.6796e-10	-5.4000e-02
-3.3124e-10	-5.3000e-02
-2.8915e-10	-5.2000e-02
-3.9438e-10	-5.1000e-02
-4.9960e-10	-5.0000e-02
-4.3647e-10	-4.9000e-02
-4.1542e-10	-4.8000e-02
-5.2065e-10	-4.7000e-02
-2.8915e-10	-4.6000e-02
-3.7333e-10	-4.5000e-02
-3.5229e-10	-4.4000e-02
-2.4706e-10	-4.3000e-02
-2.6811e-10	-4.2000e-02
-4.7856e-10	-4.1000e-02
-5.7656e-11	-4.0000e-02
-3.9438e-10	-3.9000e-02
-4.1542e-10	-3.8000e-02
-2.6811e-10	-3.7000e-02
-2.4706e-10	-3.6000e-02
-3.7333e-10	-3.5000e-02
-3.7333e-10	-3.4000e-02
-3.7333e-10	-3.3000e-02
-2.8915e-10	-3.2000e-02
