InterPad_I	InterPad_V
-4.4613e-07	-8.1000e-02
-4.4121e-07	-8.0000e-02
-4.3571e-07	-7.9000e-02
-4.3022e-07	-7.8000e-02
-4.2485e-07	-7.7000e-02
-4.1976e-07	-7.6000e-02
-4.1383e-07	-7.5000e-02
-4.0779e-07	-7.4000e-02
-4.0231e-07	-7.3000e-02
-3.9728e-07	-7.2000e-02
-3.9194e-07	-7.1000e-02
-3.8607e-07	-7.0000e-02
-3.8068e-07	-6.9000e-02
-3.7502e-07	-6.8000e-02
-3.6959e-07	-6.7000e-02
-3.6426e-07	-6.6000e-02
-3.5837e-07	-6.5000e-02
-3.5303e-07	-6.4000e-02
-3.4800e-07	-6.3000e-02
-3.4274e-07	-6.2000e-02
-3.3663e-07	-6.1000e-02
-3.3133e-07	-6.0000e-02
-3.2569e-07	-5.9000e-02
-3.2070e-07	-5.8000e-02
-3.1525e-07	-5.7000e-02
-3.0997e-07	-5.6000e-02
-3.0397e-07	-5.5000e-02
-2.9844e-07	-5.4000e-02
-2.9275e-07	-5.3000e-02
-2.8745e-07	-5.2000e-02
-2.8160e-07	-5.1000e-02
-2.7659e-07	-5.0000e-02
-2.7089e-07	-4.9000e-02
-2.6563e-07	-4.8000e-02
-2.6036e-07	-4.7000e-02
-2.5506e-07	-4.6000e-02
-2.4991e-07	-4.5000e-02
-2.4427e-07	-4.4000e-02
-2.3940e-07	-4.3000e-02
-2.3391e-07	-4.2000e-02
-2.2791e-07	-4.1000e-02
-2.2215e-07	-4.0000e-02
-2.1667e-07	-3.9000e-02
-2.1082e-07	-3.8000e-02
-2.0516e-07	-3.7000e-02
-1.9950e-07	-3.6000e-02
-1.9403e-07	-3.5000e-02
-1.8850e-07	-3.4000e-02
-1.8317e-07	-3.3000e-02
-1.7762e-07	-3.2000e-02
-1.7200e-07	-3.1000e-02
-1.6646e-07	-3.0000e-02
-1.6023e-07	-2.9000e-02
-1.5501e-07	-2.8000e-02
-1.4914e-07	-2.7000e-02
-1.4348e-07	-2.6000e-02
-1.3807e-07	-2.5000e-02
-1.3235e-07	-2.4000e-02
-1.2671e-07	-2.3000e-02
-1.2172e-07	-2.2000e-02
-1.1621e-07	-2.1000e-02
-1.1073e-07	-2.0000e-02
-1.0526e-07	-1.9000e-02
-9.9559e-08	-1.8000e-02
-9.3856e-08	-1.7000e-02
-8.8279e-08	-1.6000e-02
-8.2491e-08	-1.5000e-02
-7.7335e-08	-1.4000e-02
-7.1569e-08	-1.3000e-02
-6.6245e-08	-1.2000e-02
-6.0541e-08	-1.1000e-02
-5.5049e-08	-1.0000e-02
-4.9661e-08	-9.0000e-03
-4.3810e-08	-8.0000e-03
-3.8233e-08	-7.0000e-03
-3.2867e-08	-6.0000e-03
-2.7290e-08	-5.0000e-03
-2.2218e-08	-4.0000e-03
-1.6494e-08	-3.0000e-03
-1.0833e-08	-2.0000e-03
-5.4662e-09	-1.0000e-03
3.0012e-10	0.0000e+00
5.9195e-09	1.0000e-03
1.1181e-08	2.0000e-03
1.6822e-08	3.0000e-03
2.2462e-08	4.0000e-03
2.7787e-08	5.0000e-03
3.3343e-08	6.0000e-03
3.8689e-08	7.0000e-03
4.3887e-08	8.0000e-03
4.9822e-08	9.0000e-03
5.5336e-08	1.0000e-02
6.0893e-08	1.1000e-02
6.6238e-08	1.2000e-02
7.1752e-08	1.3000e-02
7.7330e-08	1.4000e-02
8.2865e-08	1.5000e-02
8.8316e-08	1.6000e-02
9.3514e-08	1.7000e-02
9.9197e-08	1.8000e-02
1.0450e-07	1.9000e-02
1.1018e-07	2.0000e-02
1.1566e-07	2.1000e-02
1.2102e-07	2.2000e-02
1.2603e-07	2.3000e-02
1.3163e-07	2.4000e-02
1.3723e-07	2.5000e-02
1.4217e-07	2.6000e-02
1.4773e-07	2.7000e-02
1.5318e-07	2.8000e-02
1.5874e-07	2.9000e-02
